fuente,id_articulo,titulo,texto_articulo
LEY 1696 DE 2013.pdf,152,"Sanciones y grados de alcoholemia. Si hecha la prueba, se establece que el conductor se","encuentra en alguno de los siguientes grados de alcoholemia, incurrirá en las sanciones respectivas, según el
nivel de reincidencia correspondiente de conformidad con lo indicado a continuación para cada evento:
1. Grado cero de alcoholemia, entre 20 y 39 mg de etanol/100 ml de sangre total, se impondrá:
1.1. Primera vez
1.1.1. Suspensión de la licencia de conducción por un (1) año.
1.1.2. Multa correspondiente a noventa (90) salarios mínimos diarios legales vigentes (smdlv).
1.1.3 Realización de acciones comunitarias para la prevención de la conducción bajo el influjo del alcohol o
sustancias psicoactivas, durante veinte (20) horas.
1.1.4 Inmovilización del vehículo por un (1) día hábil.
1.2. Segunda Vez
1.2.1. Suspensión de la licencia de conducción por un (1) año.
1.2.2. Multa correspondiente a ciento treinta y cinco (135) salarios mínimos diarios legales vigentes (smdlv).
1.2.3. Realización de acciones comunitarias para la prevención de la conducción bajo el influjo del alcohol o
sustancias psicoactivas, durante veinte (20) horas.
1.2.4. Inmovilización del vehículo por un (1) día hábil.
1.3. Tercera Vez
1.3.1. Suspensión de la licencia de conducción por tres (3) años.
https://www.suin-juriscol.gov.co/viewDocument.asp?id=1686534&utm_source=chatgpt.com 4/9
11/20/25, 9:04 PM LEY 1696 DE 2013
1.3.2. Multa correspondiente a ciento ochenta (180) salarios mínimos diarios legales vigentes (smdlv).
1.3.3. Realización de acciones comunitarias para la prevención de la conducción bajo el influjo del alcohol o
sustancias psicoactivas, durante treinta (30) horas.
1.3.4. Inmovilización del vehículo por tres (3) días hábiles.
2. Primer grado de embriaguez, entre 40 y 99 mg de etanol/100 ml de sangre total, se impondrá:
2.1. Primera Vez
2.2.1. Suspensión de la licencia de conducción por tres (3) años.
2.1.2. Multa correspondiente a ciento ochenta (180) salarios mínimos diarios legales vigentes (smdlv).
2.1.3. Realización de acciones comunitarias para la prevención de la conducción bajo el influjo del alcohol o
sustancias psicoactivas, durante treinta (30) horas.
2.1.4. Inmovilización del vehículo por tres (3) días hábiles.
2.2. Segunda Vez
2.2.1. Suspensión de la licencia de conducción por seis (6) años.
2.2.2. Realización de acciones comunitarias para la prevención de la conducción bajo el influjo del alcohol o
sustancias psicoactivas, durante cincuenta (50) horas.
2.2.3. Multa correspondiente a doscientos setenta (270) salarios mínimos diarios legales vigentes (smdlv).
2.2.4. Inmovilización del vehículo por cinco (5) días hábiles.
2.3. Tercera Vez
2.3.1. Cancelación de la licencia de conducción.
2.3.2. Realización de acciones comunitarias para la prevención de la conducción bajo el influjo del alcohol o
sustancias psicoactivas, durante sesenta (60) horas.
2.3.3. Multa correspondiente a trescientos sesenta (360) salarios mínimos diarios legales vigentes (smdlv).
2.3.4. Inmovilización del vehículo por diez (10) días hábiles.
https://www.suin-juriscol.gov.co/viewDocument.asp?id=1686534&utm_source=chatgpt.com 5/9
11/20/25, 9:04 PM LEY 1696 DE 2013
3. Segundo grado de embriaguez, entre 100 y 149 mg de etanol/100 ml de sangre total, se impondrá:
3.1. Primera Vez
3.1.1. Suspensión de la licencia de conducción por cinco (5) años.
3.1.2. Realización de acciones comunitarias para la prevención de la conducción bajo el influjo del alcohol o
sustancias psicoactivas, durante cuarenta (40) horas.
3.1.3. Multa correspondiente a trescientos sesenta (360) salarios mínimos diarios legales vigentes (smdlv).
3.1.4. Inmovilización del vehículo por seis (6) días hábiles.
3.2. Segunda Vez
3.2.1. Suspensión de la licencia de conducción por diez (10) años.
3.2.2. Realización de acciones comunitarias para la prevención de la conducción bajo el influjo del alcohol o
sustancias psicoactivas, durante sesenta (60) horas.
3.2.3. Multa correspondiente a quinientos cuarenta (540) salarios mínimos diarios legales vigentes (smdlv).
3.2.4. Inmovilización del vehículo por diez (10) días hábiles.
3.3. Tercera Vez
3.3.1. Cancelación de la licencia de conducción.
3.3.2. Realización de acciones comunitarias para la prevención de la conducción bajo el influjo del alcohol o
sustancias psicoactivas, durante ochenta (80) horas.
3.3.3. Multa correspondiente a setecientos veinte (720) salarios mínimos diarios legales vigentes (smdlv).
3.3.4 Inmovilización del vehículo por veinte (20) días hábiles.
4. Tercer grado de embriaguez, desde 150 mg de etanol/100 ml de sangre total en adelante, se impondrá:
4.1. Primera Vez
4.1.1. Suspensión de la licencia de conducción por diez (10) años.
4.1.2. Realización de acciones comunitarias para la prevención de la conducción bajo el influjo del alcohol o
sustancia psicoactivas, durante cincuenta (50) horas.
https://www.suin-juriscol.gov.co/viewDocument.asp?id=1686534&utm_source=chatgpt.com 6/9
11/20/25, 9:04 PM LEY 1696 DE 2013
4.1.3. Multa correspondiente a setecientos veinte (720) salarios mínimos diarios legales vigentes (smdlv).
4.1.4. Inmovilización del vehículo por diez (10) días hábiles.
4.2. Segunda Vez
4.2.1. Cancelación de la licencia de conducción.
4.2.2. Realización de acciones comunitarias para la prevención de la conducción bajo el influjo del alcohol o
sustancias psicoactivas, durante ochenta (80) horas.
4.2.3. Multa correspondiente a mil ochenta (1.080) salarios mínimos diarios legales vigentes (smdlv).
4.2.4. Inmovilización del vehículo por veinte (20) días hábiles.
4.3. Tercera Vez
4.3.1. Cancelación de la licencia de conducción.
4.3.2. Realización de acciones comunitarias para la prevención de la conducción bajo el influjo del alcohol o
sustancias psicoactivas, durante noventa (90) horas.
4.3.3. Multa correspondiente a mil cuatrocientos cuarenta (1.440) salarios mínimos diarios legales vigentes
(smdlv).
4.3.4. Inmovilización del vehículo por veinte (20) días hábiles.
Parágrafo 1°. Si el conductor reincide en un grado de alcoholemia distinto a aquel en el que fue sorprendido la
última vez, se le aplicarán las sanciones del grado en el que sea hallado.
Para determinar el orden de reincidencia que corresponda, será considerado el número de ocasiones en que
haya sido sancionado con antelación, por conducir bajo el influjo de alcohol en cualquiera de los grados
previstos en este artículo.
Parágrafo 2°. En todos los casos enunciados, la autoridad de tránsito o quien haga sus veces, al momento de
realizar la orden de comparendo procederá a realizar la retención preventiva de la licencia de conducción que
se mantendrá hasta tanto quede en firme el acto administrativo que decide sobre la responsabilidad
contravencional. La retención deberá registrarse de manera inmediata en el RUNT.
Parágrafo 3°. Al conductor del vehículo automotor que pese a ser requerido por las autoridades de tránsito, con
plenitud de garantías, no permita la realización de las pruebas físicas o clínicas a que se refiere la presente ley
o se dé a la fuga, se le cancelará la licencia, se le impondrá multa correspondiente a mil cuatrocientos cuarenta
(1.440) salarios mínimos diarios legales vigentes (smdlv) y procederá la inmovilización del vehículo por veinte
(20) días hábiles.
https://www.suin-juriscol.gov.co/viewDocument.asp?id=1686534&utm_source=chatgpt.com 7/9
11/20/25, 9:04 PM LEY 1696 DE 2013
Parágrafo 4°. En el evento en que la alcoholemia sea igual o superior a 20 mg de etanol/100 ml de sangre, se
aplicará las sanciones establecidas sin que sea necesario realizar pruebas adicionales para la determinación de
la presencia de otras sustancias psicoactivas.
Parágrafo 5°. Para los conductores que incurran en las faltas previstas en el presente artículo no existirá la
reducción de multas de la que trata el"
LEY 1696 DE 2013.pdf,136,de la Ley 769 de 2002.,"JURISPRUDENCIA [Mostrar]
Afecta la vigencia de: [Mostrar]
CAPÍTULO IV
Disposiciones finales"
LEY 1696 DE 2013.pdf,6,,"mecanismos tecnológicos necesarios para garantizar que los procedimientos de tránsito, adelantados por las
autoridades competentes, queden registrados en video y/o audio que permita su posterior consulta."
LEY 1696 DE 2013.pdf,7,,el
LEY 1696 DE 2013.pdf,152,"de la Ley 769 de 2002 y establecer la posible reincidencia, estos datos permanecerán en el","RUNT o en el registro que haga sus veces.
Después de cumplidas las sanciones, esta información no será de acceso público y solo podrá ser consultada
por las autoridades de tránsito, el titular de la información u orden judicial."
LEY 1696 DE 2013.pdf,8,,le fuere imputado el agravante descrito en el numeral 6 del
LEY 1696 DE 2013.pdf,110,"de la Ley 599 de 2000, se le brindará","tratamiento integral contra el alcoholismo, según lo dispuesto en el Plan Obligatorio de Salud o el que haga sus
veces.
El Gobierno Nacional reglamentará la materia.
JURISPRUDENCIA [Mostrar]"
LEY 1696 DE 2013.pdf,9,,"y obligaciones consignadas en esta ley, deberán hacerse notoriamente públicas en todos los establecimientos
donde se expendan bebidas embriagantes y en los parqueaderos de vehículos automotores.
https://www.suin-juriscol.gov.co/viewDocument.asp?id=1686534&utm_source=chatgpt.com 8/9
11/20/25, 9:04 PM LEY 1696 DE 2013"
LEY 1696 DE 2013.pdf,10,Vigencia y derogatoria. La presente ley rige a partir de su promulgación y deroga las disposiciones,"que le sean contrarias.
El Presidente del honorable Senado de la República,
Juan Fernando Cristo Bustos.
El Secretario General del honorable Senado de la República,
Gregorio Eljach Pacheco.
El Presidente de la honorable Cámara de Representantes,
Hernán Penagos Giraldo.
El Secretario General de la honorable Cámara de Representantes,
Jorge Humberto Mantilla Serrano.
REPÚBLICA DE COLOMBIA - GOBIERNO NACIONAL
Publíquese y cúmplase.
Dada en Bogotá, D. C., a 19 de diciembre de 2013.
JUAN MANUEL SANTOS CALDERÓN
El Ministro de Justicia y del Derecho,
Alfonso Gómez Méndez.
El Ministro de Salud y Protección Social,
Alejandro Gaviria Uribe.
La Ministra del Transporte,
Cecilia Álvarez-Correa Glen.
https://www.suin-juriscol.gov.co/viewDocument.asp?id=1686534&utm_source=chatgpt.com 9/9"
Ley_2251_de_2022.pdf,1,,evaluación de la política pública de seguridad vial con el enfoque de sistema seguro.
Ley_2251_de_2022.pdf,2,,"integridad personal y la salud de todos los residentes en el territorio nacional, promoviendo la circulación de las personas y los vehículos, la
calidad de las infraestructuras de la red vial, la seguridad vehicular, para el libre movimiento, circulación y convivencia pacífica de todas las
personas sobre las vías públicas, bajo los siguientes principios de seguridad vial:
a) Sistema Seguro: Este tiene en cuenta la vulnerabilidad de las personas a las lesiones graves causadas por accidentes de tránsito, y reconoce
que el sistema se debería concebir para tolerar el error humano. La piedra angular de este enfoque son las carreteras y las bermas seguras, las
velocidades seguras, los vehículos seguros y los usuarios de carreteras seguros, todo lo cual se deberá abordar con miras a poner fin a los
accidentes mortales y reducir el número de lesiones graves.
b) Responsabilidad compartida. Serán responsables de la incidencia y de sus efectos resultantes, de acuerdo a su participación en el sistema: los
planificadores y responsables de la gestión del sistema de tránsito y transporte y de la infraestructura vial; así como los usuarios de las vías; y la
iniciativa privada relacionada con la prestación del servicio público de transporte terrestre automotor y del diseño, la fabricación, importación,
ensamblaje y comercialización de vehículos.
c) Seguridad Vehicular. Las reglas y normas técnicas en el diseño, la concepción, la fabricación, el ensamblaje, la importación, la
comercialización y el mantenimiento de vehículos automotores, deben garantizar: i) la protección a la vida, ii) la integridad personal y iii) la
salud, tanto a los usuarios de los vehículos, como a los usuarios vulnerables fuera de él (peatones, ciclistas y motociclistas).
d) Seguridad en las vías. Los cuerpos operativos de control de tránsito, del ámbito nacional, deben intervenir y ejercer el control de las normas
de tránsito a los usuarios de las vías en todos los municipios del país; para garantizar un alto nivel de cumplimiento y luchar de forma
determinada contra la transgresión generalizada de la misma.
Ley 2251 de 2022 1 EVA - Gestor Normativo
Departamento Administrativo de la Función Pública
CAPÍTULO II
OBLIGATORIEDAD DE LA REGLAMENTACIÓN SOBRE VEHÍCULOS AUTOMOTORES Y LA INFRAESTRUCTURA VIAL."
Ley_2251_de_2022.pdf,3,,"Vial unificarán y armonizarán todas las regulaciones relacionadas con la seguridad vial vehicular de manera que sean consistentes con la
normativa internacional.
En ese marco, de manera gradual y en un plazo no mayor a 3 años, el Ministerio de Transporte elaborará un cronograma y el plan de trabajo
para la implementación del Acuerdo de las Naciones Unidas de 1958.
El Ministerio de Transporte deberá garantizar respecto a los fabricantes, el cumplimiento de las normas técnicas de producción y fabricación e
imponer las sanciones en caso de incumplimiento.
PARÁGRAFO. El término de los 3 años de que trata el presente artículo, comenzará a contar una vez entre en vigencia la norma que ratifique el
Acuerdo internacional de las Naciones Unidas sobre vehículos de motor de 1958, en cuyo caso se deberá incluir el trámite correspondiente a la
homologación de los vehículos."
Ley_2251_de_2022.pdf,4,,"puedan poner en riesgo su vida, su integridad personal y su salud o la de terceros. Para todos los efectos de diseño de vías de todas las
jerarquías y para intervenciones de construcción de vías nuevas, rectificación, mejoramiento, rehabilitación y/o mantenimiento, el diseño de
especificaciones técnicas incluyendo dispositivos viales, señalización y distribución, deberá prever mecanismos de disuasión de
comportamientos de los usuarios que pongan en riesgo su vida o la de terceros, en particular, la de los usuarios vulnerables, esto sin excluir a
ningún actor vial del uso de las vías del territorio nacional."
Ley_2251_de_2022.pdf,5,,"de tránsito en vías urbanas y carreteras del Sistema Nacional. El diseño geométrico de vías, deberá considerar adicionalmente, siempre y
cuando lo permita la capacidad y jerarquía de la vía; las especificaciones necesarias para buses, vehículos livianos, motocicletas, bicicletas,
peatones y otros modos en competencia en la vía, para los efectos de diseño de dispositivos de distribución del tráfico, cruce, retorno,
sobrepaso, tal que garanticen longitudes de desarrollo adecuados en contraposición a las largas longitudes de desarrollo de los camiones que
alientan o inducen comportamientos temerarios o conductas de riesgo de usuarios de otros modos.
PARÁGRAFO. La Agencia Nacional de Seguridad Vial reglamentará los estándares técnicos y procesos que en materia de seguridad vial deben
cumplir dichos dispositivos, así como la señalización en vía.
CAPÍTULO III
LICENCIA DE CONDUCCIÓN"
Ley_2251_de_2022.pdf,6,,
Ley_2251_de_2022.pdf,17,"de la Ley 769 de 2002, el cual quedará así:",
Ley_2251_de_2022.pdf,17,OTORGAMIENTO. La Licencia de conducción será otorgada por primera vez a quien cumpla con todos los requisitos descritos en el,
Ley_2251_de_2022.pdf,19,"de este código, por la entidad pública o privada autorizada para el efecto por el organismo de tránsito en su respectiva jurisdicción.","El formato de la licencia de conducción será único nacional, de conformidad con la ficha técnica que establezca el Ministerio de Transporte,
incorporando como mínimo el nombre completo del conductor, fotografía, número del documento de identificación, huella y tipo de sangre,
fecha de nacimiento, categorías autorizadas, restricciones, fechas de expedición y de vencimiento y organismo de tránsito que la expidió.
Dentro de las características técnicas que deben contener las licencias de conducción se incluirán, entre otros, un código de barras
bidimensional electrónico, magnético u óptico con datos del registro y un holograma de seguridad.
Además de la entrega de su licencia física, el conductor al que se le otorgue, renueve o re categorice su licencia, podrá solicitar la expedición
adicional de la licencia de conducción digital, que contendrá todos los datos registrados por el conductor, entre ellos su dirección de domicilio y
notificaciones. La licencia digital tendrá los mismos efectos legales que la licencia física y deberá ser aceptada por los cuerpos de control, y
podrá ser presentada desde cualquier dispositivo tecnológico portátil.
Ley 2251 de 2022 2 EVA - Gestor Normativo
Departamento Administrativo de la Función Pública
La licencia de conducción digital deberá guardar el registro de las sanciones y demás anotaciones asociadas a la licencia, permitiéndole la
identificación, autenticación y consulta al conductor y a las autoridades en el marco de sus competencias, sin costo alguno. El Ministerio de
Transporte garantizará la interoperabilidad, firma digital y consulta con todos los sistemas de información que lo requieran.
PARÁGRAFO. Las autoridades de tránsito, organismos de tránsito y agentes de tránsito deberán dar por cumplida la obligación de portar los
documentos como: documento de identidad, licencia de conducción, licencia de tránsito, seguro Obligatorio de Accidentes de Tránsito (SOAT) y
certificado de revisión técnico mecánica y de gases, mediante la consulta en los Sistemas de Información establecidos por la autoridad de
transito competente, sin que sea exigible su presentación en físico."
Ley_2251_de_2022.pdf,7,,
Ley_2251_de_2022.pdf,19,"de la Ley 769 de 2002, modificado por el",""""
Ley_2251_de_2022.pdf,19,REQUISITOS. Podrá obtener una licencia de conducción para vehículos automotores quien acredite el cumplimiento de los,"siguientes requisitos:
Para vehículos particulares:
a) Saber leer y escribir.
b) Tener dieciséis (16) años cumplidos.
c) Aprobar exámenes teórico y práctico de conducción, practicados por Instituciones de Educación Superior de Naturaleza Pública reconocidas
por el Ministerio de Educación Nacional, que garanticen cobertura nacional para la realización de las pruebas, en el marco de la autonomía de las
mismas y de conformidad con la reglamentación que expida el Ministerio de Transporte, cuyo resultado será registrado en el sistema RUNT.
En las entidades territoriales donde las Instituciones de Educación Superior mencionadas en el inciso anterior, no puedan garantizar la cobertura
en la prestación de dicho servicio, se facultará a las autoridades públicas y entidades privadas que estén registradas en el sistema RUNT, para
practicar los exámenes de que trata este literal, de conformidad con la reglamentación que expida el Ministerio de Transporte.
En todo caso las entidades competentes suscribirán contratos donde se establezcan claramente las condiciones para realizar los exámenes.
d) Obtener un certificado de capacitación en conducción otorgado por un centro de enseñanza automovilística registrado ante el RUNT.
e) Presentar certificado en el que conste una condición idónea, la aptitud física, mental y de coordinación motriz para conducir, expedido por una
Institución Prestadora de Salud o por un Centro de Reconocimiento de Conductores registrado ante el RUNT.
Para vehículos de servicio público:
Se exigirán los requisitos anteriormente señalados. Adicionalmente, tener por lo menos dieciocho (18) años cumplidos y, aprobar el examen
teórico y práctico de conducción para vehículos de servicio público, de conformidad con la reglamentación que expida el Ministerio de
Transporte. Las condiciones para la prestación de este servicio serán las mismas previstas en el literal c) del inciso anterior.
Los conductores de servicio público deben recibir capacitación y obtener la certificación en los temas que determine el Ministerio de Transporte.
PARÁGRAFO. Para obtener la licencia de conducción por primera vez, o la recategorización, o la renovación de la misma, se debe demostrar ante
las autoridades de tránsito la aptitud física, mental y de coordinación motriz, valiéndose para su valoración de los medios tecnológicos
sistematizados y digitalizados requeridos y los instrumentos médicos pertinentes que permitan medir y evaluar dentro de los rangos
establecidos por el Ministerio de Transporte según los parámetros y límites internacionales entre otros: Ir.is capacidades de visión y orientación
auditiva, la agudeza visual y campimetría, los tiempos de reacción y recuperación al encandilamiento, la capacidad de coordinación entre la
aceleración y el frenado, la coordinación integral motriz de la persona, la discriminación de colores y la franja horizontal y vertical."
Ley_2251_de_2022.pdf,8,Adiciónese el,""""
Ley_2251_de_2022.pdf,136,,de tránsito previstos en el
Ley_2251_de_2022.pdf,136,"de este Código para la reducción de la sanción, deberán ser impartidos por los Organismos de Tránsito o","Centros Integrales de Atención, y ser especializados según el tipo de vehículo, de licencia de conducción y de infracción, respectivamente.
Ley 2251 de 2022 3 EVA - Gestor Normativo
Departamento Administrativo de la Función Pública
El infractor a quien se le compruebe que hizo fraude o se benefició de un curso sobre normas de tránsito fraudulento, se hará acreedor a una
multa de hasta cien (100) salarios mínimos legales diarios vigentes, y a la suspensión de la licencia de conducción hasta por tres (3) años.
Si la Superintendencia de Transporte a través de su sistema de control y vigilancia (SICOV) detecta indicios de fraude, falsedad o suplantación
en la realización de estos cursos determinará para el infractor o conductor la pérdida del descuento de la multa y compulsará copias a la Fiscalía
General de la Nación para lo pertinente. Esto, sin perjuicio del procedimiento sancionatorio que debe adelantar contra el Organismo de Tránsito
u Organismo de Apoyo a la Autoridad de Tránsito que se prestó para dicha conducta.”
CAPÍTULO IV
OBLIGACIONES DE MOTOCICLISTAS, MOTOCICLOS Y MOTOTRICICLOS"
Ley_2251_de_2022.pdf,9,Modifíquese el,""""
Ley_2251_de_2022.pdf,96,"Normas específicas para motocicletas, motociclos y mototriciclos. Las motocicletas se sujetarán a las siguientes normas","específicas:
1. Deben transitar ocupando un carril, observando lo dispuesto en los artículos 60 y 68 del Presente Código.
2. Podrán llevar un acompañante en su vehículo, el cual también deberá utilizar casco y la prenda reflectiva exigida para el conductor.
3. Deberán usar de acuerdo con lo estipulado para vehículos automotores, las luces direccionales. De igual forma utilizar, en todo momento, los
espejos retrovisores.
4. Todo el tiempo que transiten por las vías de uso público, deberán hacerlo con las luces delanteras y traseras encendidas.
5. El conductor y el acompañante deberán portar siempre el casco de seguridad, conforme a la reglamentación que expida el Ministerio de
Transporte. En todo caso, no se podrá exigir que el casco contenga el número de placa correspondiente al del vehículo en que se moviliza.
6. No se podrán transportar objetos que disminuyan la visibilidad, que incomoden al conductor o acompañante o que ofrezcan peligro para los
demás usuarios de las vías"".
CAPÍTULO V
REGISTRO DE LESIONES CORPORALES EN LAS VÍAS NACIONALES CONCESIONADAS Y NO CONCESIONADAS Y REGISTRO DE PARQUE AUTOMOTOR
INVOLUCRADO EN SINIESTROS VIALES CON RESULTADO DE MUERTE O LESIÓN."
Ley_2251_de_2022.pdf,10,Registro de personas fallecidas y lesionadas en las vías del país. Con el objeto de consolidar la información relacionada con,"fatalidades y lesiones causadas por accidentes de tránsito, que permita informar a los usuarios de las vías y a los formuladores de política
pública en seguridad vial, las autoridades de transito deberán reportar al Sistema de Información de Reportes de Atenciones en Salud de
Víctimas de Accidentes de Tránsito (SIRAS) en el Registro Nacional de Accidentes de tránsito del RUNT, los sectores y tramos de las vías que
presenten siniestros con resultado de lesiones corporales y fatalidad. El Ministerio de Transporte garantizará que el Sistema RUNT transmita
gratuitamente los campos necesarios del Registro Nacional de Accidentes de Tránsito.
La Agencia Nocional de Seguridad Vial reglamentará las condiciones de reporte, frecuencia y desagregación de la información a detalle.
PARÁGRAFO. Para el cumplimiento de la finalidad pretendida con la Ley 2161 de 2021 de combatir el fraude y mejorar la movilidad, todas las
entidades aseguradoras, tanto las que ofrecen el SOAT como las que ofrecen el seguro complementario y voluntario previsto en su"
Ley_2251_de_2022.pdf,4,,"separada o conjuntamente, dentro del proceso de reclamación, deberán verificar el accidente, mediante la utilización de herramientas técnicas y
tecnológicas o cualquier otro medio probatorio, en forma oportuna, segura y que garantice la autenticidad, integridad, conservación y posterior
consulta y uso probatorio de la información. Asimismo, las entidades aseguradoras y la ADRES podrán objetar las reclamaciones con base en el
material probatorio recaudado si detectan fraude."
Ley_2251_de_2022.pdf,11,Registro de parque automotor involucrado en siniestros viales con resultado de muerte o lesión. Con el objeto de garantizar el,"derecho a la información del consumidor, el Registro Único Nacional de Tránsito publicará anualmente, en su página web, un registro
consolidado a partir de la información consignada en el Registro Nacional de Automotores y en el Registro Nacional de Accidentes de Tránsito,
Ley 2251 de 2022 4 EVA - Gestor Normativo
Departamento Administrativo de la Función Pública
de los vehículos que estuvieron involucrados en un siniestro de tránsito con resultado de muerte o lesión que contenga la marca, modelo y tipo
de vehículo, así como la edad del parque automotor inscrito en el sistema. El Ministerio de Transporte deberá garantizar que el Sistema RUNT
emita la información gratuitamente.
CAPÍTULO VI
VELOCIDAD"
Ley_2251_de_2022.pdf,12,Modifíquese el,
Ley_2251_de_2022.pdf,106,LÍMITES DE VELOCIDAD EN VÍAS URBANAS Y CARRETERAS MUNICIPALES. En las vías urbanas las velocidades máximas y mínimas,"para vehículos de servicio público o particular será determinada y debidamente señalizada por la autoridad de Tránsito competente en el distrito
o municipio respectivo. En ningún caso podrá sobrepasar los cincuenta (50) kilómetros por hora. La velocidad en zonas escolares y en zonas
residenciales será hasta de treinta (30) kilómetros por hora.
PÁRAGRAFO 1. Las patinetas y bicicletas eléctricas o a gasolina no podrán sobrepasar los 40Km/h.
PÁRAGRAFO 2. Excepcionalmente y teniendo en cuenta lo establecido el estudio técnico, diseño de la infraestructura y lo dispuesto en la
""Metodología para establecer la velocidad limite en las vías colombianas"" que expidan el Ministerio de Transporte y la Agencia Nacional de
Seguridad Vial, en función del contexto, tipo de vía, funcionalidad, las características operacionales de la infraestructura vial y demás criterios en
el marco del enfoque de sistema seguro, que propendan por una movilidad eficiente y la protección de la vida de todos los actores viales. Los
tramos viales en los que se presenten condiciones idóneas de infraestructura y seguridad vial, las entidades territoriales, estarán facultadas, en
el marco de su jurisdicción territorial de establecer límites de velocidad superiores a los establecidos en este artículo."
Ley_2251_de_2022.pdf,13,Modifíquese el,
Ley_2251_de_2022.pdf,107,LÍMITES DE VELOCIDAD EN CARRETERAS NACIONALES Y DEPARTAMENTALES. En las carreteras nacionales y departar1entales las,"velocidades autorizadas para vehículos públicos o privados serán determinadas por el Ministerio de Transporte o la Gobernación, según sea el
caso, teniendo en cuenta las especificaciones de la vía. En ningún caso podrá sobrepasar los noventa (90) kilómetros por hora. Para el caso de
vías doble calzada que no contengan dentro de su diseño pasos peatonales, la velocidad máxima será de 120 kilómetros por hora.
Para el servicio público de carga, el límite de velocidad en ningún caso podrá exceder los ochenta (80) kilómetros por hora.
Será obligación de las autoridades mencionadas, la debida señalización de estas restricciones.
PARÁGRAFO 1. La entidad encargada de fijar la velocidad máxima y mínima, en las zonas urbanas señaladas en el"
